year,species,region,sector,area,discards,dead_disc,landings
2011,Red Snapper,Gulf,Headboat,Central,82.104,20.033376,66.16
2011,Red Snapper,Gulf,Private,Central,3729.513,1107.665361,1242.751
2012,Gag,Atlantic,Headboat,all,5.193,1.29825,2.1
2012,Gag,Atlantic,Private-Charter,all,374.1009839,93.52524598,36.69472209
2012,Gag,Gulf,Charter,all,170.375,20.445,46.7545
2012,Gag,Gulf,Headboat,all,37.878,4.54536,5.253
2012,Gag,Gulf,Private,all,1139.79,136.7748,101.646
2012,Red Grouper,Atlantic,Headboat,all,9.78,1.956,1.44
2012,Red Grouper,Atlantic,Private-Charter,all,96.94,19.388,89.65
2012,Red Grouper,Gulf,Gen.Rec,all,3463.19,401.73004,512.227
2012,Red Snapper,Atlantic,Headboat,all,47.305,12.2993,2.127
2012,Red Snapper,Atlantic,Private-Charter,all,382.558,107.11624,18.185
2012,Red Snapper,Gulf,Charter,Central,258.4582,43.6794358,150.031
2012,Red Snapper,Gulf,Headboat,Central,71.576,17.464544,51.71
2012,Red Snapper,Gulf,Private,Central,3971.316,1179.480852,1160.661
2013,Gag,Atlantic,Headboat,all,1.984,0.496,1.383
2013,Gag,Atlantic,Private-Charter,all,155.932453,38.98311326,19.53523883
2013,Gag,Gulf,Charter,all,234.277,28.11324,24.9393
2013,Gag,Gulf,Headboat,all,34.756,4.17072,5.276
2013,Gag,Gulf,Private,all,1190.85,142.902,186.23
2013,Red Grouper,Atlantic,Headboat,all,9.74,1.948,1.16
2013,Red Grouper,Atlantic,Private-Charter,all,124.92,24.984,29.7
2013,Red Grouper,Gulf,Gen.Rec,all,3946.67,457.81372,647.499
2013,Red Snapper,Atlantic,Headboat,all,46.74,12.1524,1.52
2013,Red Snapper,Atlantic,Private-Charter,all,210.777,59.01756,7.48
2013,Red Snapper,Gulf,Charter,Central,402.9501,68.0985669,165.651
2013,Red Snapper,Gulf,Headboat,Central,80.013,19.523172,41.3
2013,Red Snapper,Gulf,Private,Central,4871.39,1446.80283,2091.561
2014,Gag,Atlantic,Headboat,all,1.366,0.3415,1.042
2014,Gag,Atlantic,Private-Charter,all,270.3436667,67.58591666,36.77330782
2014,Gag,Gulf,Charter,all,67.9713,8.156556,12.4251
2014,Gag,Gulf,Headboat,all,20.162,2.41944,6.203
2014,Gag,Gulf,Private,all,1025.68,123.0816,132.567
2014,Red Grouper,Atlantic,Headboat,all,5.03,1.006,1.85
2014,Red Grouper,Atlantic,Private-Charter,all,105.24,21.048,26.26
2014,Red Grouper,Gulf,Gen.Rec,all,3338.55,387.2718,633.195
2014,Red Snapper,Atlantic,Headboat,all,46.612,12.11912,2.952
2014,Red Snapper,Atlantic,Private-Charter,all,743.415,208.1562,37.997
2014,Red Snapper,Gulf,Charter,Central,281.5476,47.5815444,35.281
2014,Red Snapper,Gulf,Headboat,Central,59.827,14.597788,40.55
2014,Red Snapper,Gulf,Private,Central,3864.994,1147.903218,893.061
2015,Gag,Atlantic,Headboat,all,1.127,0.28175,0.872
2015,Gag,Atlantic,Private-Charter,all,167.9970396,41.99925989,19.84987869
2015,Gag,Gulf,Charter,all,72.6227,8.714724,12.9775
2015,Gag,Gulf,Headboat,all,15.967,1.91604,3.626
2015,Gag,Gulf,Private,all,662.074,79.44888,111.003
2015,Red Grouper,Atlantic,Headboat,all,6.42,1.284,1.74
